3935	3936
3935	3937
3935	3938
3935	3939
3935	3941
3935	3942
3935	3943
3935	3944
3935	3945
3935	3946
3943	3939
3943	3941
3944	3936
3944	3937
3944	3938
3944	3942
3945	3942
3945	3944
3946	3941
3946	3942
3946	3943
4991	4992
4993	4994
4993	4995
4995	4997
4995	4998
4995	4999
4995	5000
4995	5001
4995	5002
2670	2669
2672	2669
2672	2670
2672	2671
5513	5514
5520	5521
5520	5522
5520	5524
5520	5525
5520	5527
5520	5528
5522	5539
5528	5522
5528	5527
5545	5548
5236	5235
6247	6260
6247	6262
6248	6260
6248	6247
6248	6263
6249	6264
6249	6247
6249	6263
6249	6248
6249	6266
6267	6269
6269	6275
6269	6276
6269	6277
6269	6272
6254	6251
6257	6251
6257	6252
6257	6253
6257	6254
6266	6250
6266	6251
6266	7121
6266	6252
6266	6253
6266	6254
6266	6255
6266	6256
6266	6257
7122	7124
7122	7125
7122	7127
7125	5245
7120	6251
5240	5235
5240	5236
5240	5238
5241	5235
5241	5236
5241	5238
5241	5239
5241	5240
5243	5235
5243	5236
5243	5238
5243	5239
5243	5240
5243	5241
5250	5235
5250	5236
5250	5238
5250	5239
5250	5240
5250	5241
5250	5243
5250	5249
2671	2670
2675	2674
2675	2678
2677	2680
8604	8605
8604	8606
8604	8607
8604	8608
8606	8614
8606	8615
8606	8616
8607	8615
8607	8605
8607	8606
8608	8617
8608	8606
8608	8618
8608	8607
8917	8916
8918	8916
8919	8924
8919	8926
8920	8914
8920	8916
8920	8927
8920	8928
8920	8929
8920	8930
8921	8914
8921	8932
8921	8933
8921	8919
8922	8914
8922	8934
8922	8929
8922	8919
8937	8938
5251	5236
5251	5238
5251	5239
5251	5241
5251	5243
5251	5248
6264	6260
10305	10315
10306	10314
10306	10316
10306	10315
10309	10319
10309	10321
10309	10322
10323	10324
10323	10325
10323	10327
10328	10315
10328	10305
10315	10316
10332	10333
10333	10332
10337	10336
5249	5235
5249	5236
5249	5238
5249	5240
5249	5241
5249	5243
5249	5248
10982	9717
10983	10984
10985	10986
10986	10993
10986	10994
10995	10996
10995	10997
10995	10998
10995	10999
10995	11000
10997	10996
10997	11002
10999	10998
10999	11003
10999	11005
10999	11006
11000	10996
11000	10997
11000	10998
11000	10999
11008	11009
11008	11010
11008	11011
11008	11012
11009	11013
11011	10987
11011	11015
8596	8595
10322	3931
8594	8592
11677	2670
11677	2671
11683	11684
11684	11685
11689	11690
11690	11691
11690	11692
11695	11698
11695	11699
11695	11700
6277	6276
6256	6253
12047	3936
12047	3937
12047	3939
12047	3941
12047	3942
12047	3943
12047	3944
12047	3945
12047	3946
12050	12051
12050	12052
12050	12053
12052	12057
12053	12072
12053	11665
12073	12074
12075	12077
12082	12084
12082	12085
12085	10989
12085	12086
12085	12087
12085	12088
12085	10986
12092	12094
12092	12095
12094	12094
5010	4997
12457	2672
12459	12460
12459	12461
12465	3939
12467	12468
12468	12469
12468	12470
12472	12473
12477	9717
12494	2666
10978	10974
10978	10975
10979	10977
10979	10978
8615	8609
8615	8611
12775	12776
12775	12777
12778	10328
12778	10314
12778	12779
12778	10305
12778	10306
12778	10307
12778	10309
10314	10310
12779	12780
12779	10310
12798	9717
12798	12799
12800	12801
12803	12804
12808	12809
12809	12811
12819	12820
6272	6270
13391	13392
13392	13391
13394	13395
13688	13689
13691	13692
13698	2260
13704	12047
13704	3946
13706	11677
13707	12823
13708	12823
4999	4997
5248	5235
5248	5238
5248	5240
5248	5241
5248	5243
8614	4983
13997	12085
13997	14000
11685	14005
14325	14328
14330	10995
14330	13682
14330	10996
14330	11002
14330	10997
14330	10998
14330	14331
14330	10999
14330	11000
11002	10996
14331	10996
14331	10997
14331	14335
14338	14337
14341	14343
14353	14354
14353	14355
14358	14359
5252	5235
5252	5236
5252	5238
5252	5239
5252	5240
5252	5241
5252	5250
14654	12822
14661	14662
14665	9717
14666	2667
14666	14667
4982	10987
4982	10990
11669	11665
11669	12053
11669	11667
15057	15067
15061	15060
15062	15068
15073	15074
15073	2676
15076	7118
15076	15077
15076	7119
15077	15078
15081	3946
15085	8290
15085	8301
8301	8290
8301	8298
15087	15088
15087	15089
15094	14357
15112	15113
15112	15114
15114	15116
15114	15113
12470	12469
8280	8276
8280	8277
14318	4987
10009	8289
11003	10998
11003	10999
11006	11003
11006	11005
6253	6251
6253	15077
15799	15800
15801	14357
15801	15094
15805	15806
15806	15808
15810	12073
15810	12074
15811	14357
15811	15094
15812	12822
15814	15815
15814	15816
15814	15817
15815	8924
15815	15819
